round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
Group stage,6,Tue,2018-12-11,21:00,Red Star,0.4,1–4,2.9,Paris S-G,48357,Stadion Rajko Mitić,William Collum,/en/matches/1c0da541/Red-Star-Paris-Saint-Germain-December-11-2018-Champions-League,,1c0da541
Group stage,6,Tue,2018-12-11,18:55,Schalke 04,2.1,1–0,0.7,Loko Moscow,48883,Veltins-Arena,Tasos Sidiropoulos,/en/matches/6572b60f/Schalke-04-Lokomotiv-Moscow-December-11-2018-Champions-League,,6572b60f
Group stage,6,Wed,2018-12-12,21:00,Ajax,3.0,3–3,3.1,Bayern Munich,52244,Johan Cruyff ArenA,Clément Turpin,/en/matches/e025e0e3/Ajax-Bayern-Munich-December-12-2018-Champions-League,,e025e0e3
Group stage,6,Wed,2018-12-12,20:00,Benfica,1.8,1–0,0.4,AEK Athens,33633,Estádio do Sport Lisboa e Benfica,Bobby Madden,/en/matches/376f382b/Benfica-AEK-Athens-December-12-2018-Champions-League,,376f382b
Group stage,6,Wed,2018-12-12,20:00,Manchester City,3.4,2–1,1.4,Hoffenheim,50411,Etihad Stadium,Andreas Ekberg,/en/matches/064b2235/Manchester-City-Hoffenheim-December-12-2018-Champions-League,,064b2235
Group stage,6,Wed,2018-12-12,18:55,Real Madrid,1.3,0–3,0.9,CSKA Moscow,51636,Estadio Santiago Bernabéu,Hugo Miguel,/en/matches/f0614596/Real-Madrid-CSKA-Moscow-December-12-2018-Champions-League,,f0614596
Group stage,6,Wed,2018-12-12,22:00,Shakhtar,1.1,1–1,1.3,Lyon,38916,NSK Olimpijs'kyj,Björn Kuipers,/en/matches/08489c7c/Shakhtar-Donetsk-Lyon-December-12-2018-Champions-League,,08489c7c
Group stage,6,Wed,2018-12-12,21:00,Valencia,1.4,2–1,1.8,Manchester Utd,36544,Estadio de Mestalla,Georgi Kabakov,/en/matches/355d5763/Valencia-Manchester-United-December-12-2018-Champions-League,,355d5763
Group stage,6,Wed,2018-12-12,18:55,Viktoria Plzeň,2.0,2–1,1.1,Roma,11217,Doosan Arena,Anthony Taylor,/en/matches/907a4911/Viktoria-Plzen-Roma-December-12-2018-Champions-League,,907a4911
Group stage,6,Wed,2018-12-12,21:00,Young Boys,1.2,2–1,2.1,Juventus,30114,Stade de Suisse Wankdorf Bern,Tobias Stieler,/en/matches/a2259571/Young-Boys-Juventus-December-12-2018-Champions-League,,a2259571
